"angle_type","period","emmean","SE","df","asymp.LCL","asymp.UCL"
"Main","Early (Q1)",60.0134734606646,1.04417610271539,Inf,57.966925905825,62.0600210155042
"NN1","Early (Q1)",84.3612783434198,1.04417610271539,Inf,82.3147307885802,86.4078258982593
"NN2","Early (Q1)",35.6252481953114,1.04417610271539,Inf,33.5787006404718,37.671795750151
"Main","Late (Q4)",81.938512114873,1.07240216514593,Inf,79.8366424942442,84.0403817355019
"NN1","Late (Q4)",57.6587088033582,1.07240216514593,Inf,55.5568391827294,59.760578423987
"NN2","Late (Q4)",40.4027790813113,1.07240216514593,Inf,38.3009094606825,42.5046487019401
