"angle_type","mean_Early","mean_Late","sd_Early","sd_Late","se_Early","se_Late","n_Early","n_Late"
"Main",63.4109773373855,88.0364057403038,37.6203128313542,32.4386746292144,1.53328948356582,1.97782089891339,602,269
"NN1",78.4608346569253,52.7647955630796,37.9631437962506,20.8926200980457,1.54726223056218,1.2738455296123,602,269
"NN2",38.1281880054066,39.1987986966773,17.4300170176681,14.1720918152748,0.710394459274405,0.864087688352292,602,269
