"period","angle_type","n","mean","sd","se"
"Early","Main",602,63.4109773373855,37.6203128313542,1.53328948356582
"Early","NN1",602,78.4608346569253,37.9631437962506,1.54726223056218
"Early","NN2",602,38.1281880054066,17.4300170176681,0.710394459274405
"Late","Main",269,88.0364057403038,32.4386746292144,1.97782089891339
"Late","NN1",269,52.7647955630796,20.8926200980457,1.2738455296123
"Late","NN2",269,39.1987986966773,14.1720918152748,0.864087688352292
