model,term,F_value,p_value
ratio,genotype,7.552111734802714,9.592013502565754e-6
ratio,day_sc,601.1592961191787,4.122382364758972e-122
nubbin_distance,genotype,4.205605457930449,0.001386831658647135
nubbin_distance,day_sc,2719.11651985335,0
nubbin_distance,genotype:day_sc,24.97905631030661,1.0871409134793474e-37
perimeter_distance,genotype,3.5595349752558123,0.003800944009577927
perimeter_distance,day_sc,129.72350331457739,1.6558807390549902e-29
