"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",59.9999999999812,0.340491096434329,176.216061530859,0,59.3325540196367,60.6674459803258
"angle_type1",11.5664819271503,0.481527126444721,24.0204160719866,2.19382278895157e-123,10.6225707695956,12.5103930847051
"angle_type2",9.58266514991777,0.481527126444715,19.9005717926423,3.72154776697702e-86,8.63875399236306,10.5265763074725
"genotype1",1.86922683200583e-11,0.70702977949041,2.64377383559865e-11,0.999999999978906,-1.38595161295045,1.38595161298783
"genotype2",1.86829350684805e-11,0.969171333850715,1.92772262405342e-11,0.999999999984619,-1.89981329265759,1.89981329269496
"genotype3",1.86979947815996e-11,0.833542500487753,2.24319633020012e-11,0.999999999982102,-1.63394754581449,1.63394754585188
"genotype4",1.86728503543824e-11,0.859696102453501,2.17202919742124e-11,0.99999999998267,-1.68521501414591,1.68521501418326
"genotype5",1.43084971851272e-10,0.970709152492836,1.47402516483771e-10,0.999999999882393,-1.90282779388706,1.90282779417323
"genotype6",-8.17433216125244e-11,0.910304467656724,-8.97977814202598e-11,0.999999999928354,-1.78441981073127,1.78441981056778
"genotype7",-7.00211906883132e-10,0.860688462931043,-8.13548614906009e-10,0.999999999350901,-1.6871602845612,1.68716028316077
"angle_type1:genotype1",-0.13394446360127,0.99989110315699,-0.133959051319051,0.893438148037959,-2.09397603145509,1.82608710425255
"angle_type2:genotype1",-1.69076406785741,0.999891103156994,-1.69094820677882,0.0908836082707266,-3.65079563571124,0.269267499996408
"angle_type1:genotype2",0.185646500180841,1.37061524459488,0.135447567005366,0.892261246903385,-2.50109522429858,2.87238822466026
"angle_type2:genotype2",-0.289853154051992,1.37061524459489,-0.211476674577381,0.832520436431589,-2.97659487853144,2.39688857042746
"angle_type1:genotype3",-2.18588409166847,1.17880710900416,-1.85431872184338,0.0637284253057239,-4.49663487119198,0.124866687855038
"angle_type2:genotype3",-0.588222530623617,1.17880710900414,-0.498998119480759,0.61779371108841,-2.8989733101471,1.72252824889987
"angle_type1:genotype4",1.47732155909538,1.21579388760905,1.21510855923174,0.224358672128654,-0.90593236945097,3.86057548764174
"angle_type2:genotype4",-2.13644849586402,1.21579388760905,-1.75724562990319,0.0789121949473245,-4.51970242441039,0.246805432682347
"angle_type1:genotype5",-1.31669575586325,1.37279004857506,-0.959138476586398,0.337516457331204,-4.00770062904114,1.37430911731465
"angle_type2:genotype5",3.29560754129265,1.37279004857506,2.4006639214157,0.0163868649075027,0.604602668114753,5.98661241447054
"angle_type1:genotype6",-3.37655049453118,1.28736492404894,-2.62283866171487,0.00873572452139005,-5.90010119171893,-0.852999797343434
"angle_type2:genotype6",3.49897008082342,1.28736492404895,2.71793181207599,0.00658254624019847,0.975419383635657,6.02252077801119
"angle_type1:genotype7",4.65403078038044,1.21719729725512,3.82356318969462,0.000132483164869929,2.26802582504703,7.04003573571386
"angle_type2:genotype7",-2.71289492049651,1.21719729725512,-2.22880458789574,0.0258531318225289,-5.09889987582994,-0.326889965163082
