"contrast","period","estimate","SE","df","t.ratio","p.value"
"Main - NN1","Early",-15.0498573195398,1.73132703631174,2575.90261144924,-8.69267157728944,0
"Main - NN2","Early",25.2827893319789,1.73132703631174,2575.90261144924,14.6031274286798,0
"NN1 - NN2","Early",40.3326466515187,1.73132703631174,2575.90261144924,23.2957990059693,0
"Main - NN1","Late",35.2716101772242,2.59000866256515,2575.90261144924,13.6183367596505,0
"Main - NN2","Late",48.8376070436265,2.59000866256515,2575.90261144924,18.8561558690918,0
"NN1 - NN2","Late",13.5659968664023,2.59000866256515,2575.90261144924,5.23781910944132,5.25403255124957e-07
