"period","angle_type","n","mean","sd","se"
"Early (Q1)","Main",847,60.0134734606646,39.6448186303157,1.36221208919579
"Early (Q1)","NN1",847,84.3612783434198,42.1034643103913,1.44669215453999
"Early (Q1)","NN2",847,35.6252481953114,18.0743905844774,0.621043410202266
"Late (Q4)","Main",803,81.9385121148731,32.5377621049089,1.14823268975965
"Late (Q4)","NN1",803,57.6587088033582,23.781857998778,0.839243543836078
"Late (Q4)","NN2",803,40.4027790813113,14.0047309672408,0.494216223476818
