"period","angle_type","emmean","SE","df","lower.CL","upper.CL"
"Early","Main",63.4109773373855,1.22742658443453,488.225149326511,60.9992868484675,65.8226678263035
"Late","Main",88.0364057403036,1.83806671921411,1149.80365574001,84.430064948817,91.6427465317903
"Early","NN1",78.4608346569253,1.22742658443453,488.225149326511,76.0491441680072,80.8725251458433
"Late","NN1",52.7647955630794,1.83806671921411,1149.80365574001,49.1584547715928,56.371136354566
"Early","NN2",38.1281880054066,1.22742658443453,488.225149326511,35.7164975164886,40.5398784943246
"Late","NN2",39.1987986966771,1.83806671921411,1149.80365574001,35.5924579051905,42.8051394881638
