genotype,mean_nubbin,sd_nubbin,mean_perim,sd_perim,mean_ratio,sd_ratio
1,4.952119726285411,2.404361133618429,1.5672380076316945,0.77488702890069,4.195842250833184,3.5234135270292413
2,3.6236559215350463,1.7525357328656985,1.3241867433062227,0.6602200288085356,3.5272424418313126,2.7783894131250886
3,4.631022331230075,1.9677444179319952,1.2741806739108235,0.5838025338258791,4.875317979197843,3.9292144705289864
4,5.3742245032737825,2.241635743762714,1.184694180046612,0.781487255040484,7.7229990559731405,13.337753120611893
6,3.9864113774187526,1.9619769418410504,1.332492576777826,0.7443362886925416,4.04479717506177,2.8972637114544613
7,3.990589456740249,2.1790326029225895,1.3437564378226967,0.7699881519095394,4.138308120341743,3.446437311852198
8,3.3336715516506628,1.5837733948478254,1.1196985157579307,0.6804889187449423,4.310945264626612,3.5098591996420923
9,2.646077713044746,1.6310955489342827,1.2560466940757995,0.7968667944212837,3.495076104498117,3.922723738512741
10,4.996955238654546,1.9609225020132555,0.9907253923051528,0.5654898138119474,7.00713026255756,5.7130525627649575
