"angle_type","emmean","SE","df","lower.CL","upper.CL"
"Main",71.5664819271316,0.589747878549098,8442,70.4104315778671,72.722532276396
"NN1",69.582665149899,0.589747878549093,8442,68.4266148006346,70.7387154991634
"NN2",38.8508529229131,0.589747878549093,8442,37.6948025736487,40.0069032721776
