"genotype","n","mean","sd","se"
"1",594,1.37617807049206,0.533274914419517,0.0218805347725915
"2",277,1.38473373841464,0.526023967512267,0.0316057170716782
"3",394,1.3044352737379,0.35765278672026,0.018018287090257
"4",366,1.34553466696419,0.432778172322051,0.0226216774536139
"6",276,1.45410290306657,0.522406009002611,0.0314451465254557
"7",320,1.42612554470483,0.561740742089184,0.0314022621260648
"8",365,1.44007503590933,0.554175749544957,0.0290068844631193
"9",230,1.38128259129518,0.374992161932272,0.0247262509254611
