"angle_type","mean_Early (Q1)","mean_Late (Q4)","sd_Early (Q1)","sd_Late (Q4)","se_Early (Q1)","se_Late (Q4)","n_Early (Q1)","n_Late (Q4)"
"Main",60.0134734606646,81.9385121148731,39.6448186303157,32.5377621049089,1.36221208919579,1.14823268975965,847,803
"NN1",84.3612783434198,57.6587088033582,42.1034643103913,23.781857998778,1.44669215453999,0.839243543836078,847,803
"NN2",35.6252481953114,40.4027790813113,18.0743905844774,14.0047309672408,0.621043410202266,0.494216223476818,847,803
