"contrast","estimate","SE","df","t.ratio","p.value"
"Main - NN1",1.98381677723255,0.834029448224896,8442,2.37859320369898,0.0457960944875264
"Main - NN2",32.7156290042184,0.834029448224897,8442,39.2259878519261,2.01449967818235e-11
"NN1 - NN2",30.7318122269859,0.834029448224886,8442,36.8473946482276,2.01449967818235e-11
