"contrast","period","estimate","SE","df","z.ratio","p.value"
"Main - NN1","Early (Q1)",-24.3478048827552,1.47668800596599,Inf,-16.4881171814135,0
"Main - NN2","Early (Q1)",24.3882252653532,1.47668800596599,Inf,16.5154895054486,0
"NN1 - NN2","Early (Q1)",48.7360301481084,1.47668800596599,Inf,33.0036066868622,0
"Main - NN1","Late (Q4)",24.2798033115149,1.51660568626765,Inf,16.0093052079128,0
"Main - NN2","Late (Q4)",41.5357330335617,1.51660568626765,Inf,27.3872987617373,0
"NN1 - NN2","Late (Q4)",17.2559297220468,1.51660568626765,Inf,11.3779935538245,0
