model,singular,AIC,BIC,logLik
m1_slide,FALSE,25940.609508850448,26105.743037394248,-12950.304754425224
m2_slide_polyp,FALSE,11508.314231762366,11681.704436733356,-5733.157115881183
m3_slide_slope_polyp,FALSE,9921.495788138653,10111.399345964024,-4937.747894069326
