effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),2.0264185011704448,0.07447708804577287,27.208616157562826,36.884482182570906,5.174328499059376e-26,1.8754976320192136,2.177339370321676
fixed,NN_level_c,0.22683553375101792,0.021927423437985268,10.344833007514538,42.78128815089633,3.244680622943318e-13,0.1826081312965762,0.2710629362054596
fixed,ColonySC10,-0.06585577126679,0.10535110175027211,-0.6251075705206842,36.91969739415874,0.5357452904210103,-0.27933305279356646,0.1476215102599865
fixed,ColonySC2,0.332135476673476,0.10608583984173961,3.130818186187341,37.95391156675043,0.003348222019606854,0.11736735711565449,0.5469035962312975
fixed,ColonySC3,0.27106433949494135,0.10558641103384739,2.5672275138516394,37.25042118964756,0.01439865907940321,0.0571744858606372,0.4849541931292455
fixed,ColonySC4,0.43188310139103075,0.10568773130326221,4.086407154977883,37.39247812150823,2.2287342126028594e-4,0.2178152612867321,0.6459509414953294
fixed,ColonySC6,0.6002683881830617,0.10622538518882121,5.650893965844916,38.13119771079146,1.6966059782401447e-6,0.38525063351612177,0.8152861428500017
fixed,ColonySC7,0.00960563349162456,0.10582755060855949,0.09076685075282884,37.59123445895532,0.9281597905129834,-0.20470757177980584,0.22391883876305493
fixed,ColonySC8,-0.050056179359694725,0.10570176677588154,-0.4735604795124037,37.41287812396554,0.6385651390317484,-0.26414855014155814,0.16403619142216866
fixed,ColonySC9,0.02656395947485865,0.10633423895384844,0.24981567307203875,38.31353156117069,0.8040645155638629,-0.1886406193216755,0.2417685382713928
fixed,NN_level_c:ColonySC10,-0.009283901744977433,0.03101035740795313,-0.29938067539319685,42.783129418844474,0.7660992154804087,-0.07183141651775819,0.053263613027803323
fixed,NN_level_c:ColonySC2,0.06911341971629995,0.03105559972823251,2.225473676924978,43.03216597520499,0.031340685698436746,0.006485187803711517,0.13174165162888837
fixed,NN_level_c:ColonySC3,0.033614987024452946,0.03102331477977904,1.0835395012773799,42.85467923679662,0.28462780610811295,-0.028955625801145683,0.09618559985005157
fixed,NN_level_c:ColonySC4,0.06708007435460182,0.031030005305132877,2.1617809502438488,42.8914343573036,0.03625974128545481,0.004497523769630071,0.1296626249395736
fixed,NN_level_c:ColonySC6,0.13213991648437157,0.031078535720021543,4.251806380930741,43.15417317973703,1.1154844521571535e-4,0.06947055069904463,0.1948092822696985
fixed,NN_level_c:ColonySC7,0.01656482469095175,0.031037055092867718,0.5337112249015639,42.930565946769576,0.5962941173350813,-0.04603028990238446,0.07915993928428795
fixed,NN_level_c:ColonySC8,0.012458567590937749,0.03103019397064492,0.40149821824264975,42.89259786766618,0.6900468001367588,-0.05012431428098656,0.07504144946286205
fixed,NN_level_c:ColonySC9,0.034369388079926476,0.03106713123297299,1.1062942317457574,43.096766927006115,0.2747364859793244,-0.028279385167987982,0.09701816132784094
