Colony,Colony_Number,Sample,Slide,Polyp_ID,X,Y,NN_label,distance,NN_level,slide_id,polyp_uid,colony_num
SC1,1,T1,1SG1T1,5,20.058408666975826,12.226625047381834,NN7_Distance,3.0101576371883,7,1SG1T1,1SG1T1__5,1
SC1,1,T1,1SG1T1,5,20.058408666975826,12.226625047381834,NN8_Distance,3.1593300248657323,8,1SG1T1,1SG1T1__5,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN1_Distance,0.9315838276755634,1,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN2_Distance,1.6198930334475072,2,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN3_Distance,1.673704319681074,3,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN4_Distance,1.7464432261448093,4,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN5_Distance,2.2937600355820047,5,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN6_Distance,2.38084504231456,6,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN7_Distance,2.5008705807633778,7,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,NN8_Distance,2.7377005861002095,8,1SG1T1,1SG1T1__6,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN1_Distance,0.878208369001138,1,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN2_Distance,1.1478955257546852,2,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN3_Distance,1.8483602851456944,3,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN4_Distance,1.975891549150248,4,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN5_Distance,2.12244519005084,5,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN6_Distance,2.5588721096076528,6,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN7_Distance,2.5935257478516993,7,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,NN8_Distance,2.748793158027305,8,1SG1T1,1SG1T1__7,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN1_Distance,0.6887529493936934,1,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN2_Distance,1.1478955257546852,2,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN3_Distance,1.411994801198987,3,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN4_Distance,1.7953481249814027,4,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN5_Distance,2.1010463096413847,5,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN6_Distance,2.5834063992877745,6,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN7_Distance,2.8736409246184933,7,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,NN8_Distance,2.9034367174286624,8,1SG1T1,1SG1T1__8,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN1_Distance,1.2167540241897772,1,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN2_Distance,1.6358115803055604,2,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN3_Distance,1.6536006622870136,3,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN4_Distance,1.6716934654582891,4,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN5_Distance,2.1039502752473234,5,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN6_Distance,2.2789558994000068,6,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN7_Distance,2.6654754128255536,7,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,NN8_Distance,2.8465092208065994,8,1SG1T1,1SG1T1__9,1
SC1,1,T1,1SG1T1,10,18.49207449661849,19.58820894978775,NN1_Distance,1.0978958033110402,1,1SG1T1,1SG1T1__10,1
