dataset,parameter,method,omnibus_p,shapiro_p,levene_p
polyps,L,Kruskal-Wallis + Dunn,0.0019169542627388851,0.03314235806085921,0.21954906386965134
polyps,k,ANOVA + Tukey,1.376312124552681e-4,0.6881969992711848,0.23555749874938622
polyps,x0,ANOVA + Tukey,0.011203075978006785,0.18452780677013525,0.9173819890672295
area,L,ANOVA + Tukey,0.0012843340200437607,0.8412048075910019,0.541139986455283
area,k,ANOVA + Tukey,0.07066555175321083,0.14230860660853006,0.2919856990056886
area,x0,ANOVA + Tukey,1.5669281595667196e-5,0.8176604443187828,0.33981992627254354
