genotype_plot,Replicate,L_area,k_area,t0_area,L_poly,k_poly,t0_poly,t0_lag
SC1,1,233.179366808588,0.0615107102589064,46.8818800521005,78.7866554356543,0.0568455804645732,57.9339870028852,11.052106950784705
SC1,2,222.164036011681,0.0680988559662593,43.1986300677485,85.0982129189135,0.0528661800311001,56.6570924047926,13.458462337044097
SC1,3,519.01293988604,0.0426704244943309,50.8211787186033,217.904302900993,0.0361193048803079,71.0351000802103,20.213921361607
SC1,4,423.660359585567,0.0285381155940841,55.6937040451685,164.683390209794,0.0295562590113717,75.1496051492392,19.455901104070705
SC1,5,244.272057158022,0.0543185641539982,52.3673490476612,97.5636031049159,0.0437782023947844,65.2849986696969,12.917649622035704
SC2,1,235.198135987867,0.0553218045947325,44.0408102475691,65.5270411751292,0.0458900573955013,60.4365093080979,16.3956990605288
SC2,2,172.111038990962,0.0548079826238868,59.7104804251461,57.9343772049337,0.0449890262190478,77.1452473624495,17.434766937303394
SC2,3,263.694645046623,0.0586745381452754,48.0131059246082,79.1732406976755,0.040837277270304,62.442346946624,14.429241022015802
SC2,4,199.46568279807,0.0516189180686854,58.2202038893206,71.3493482607432,0.0420753393450894,73.0229886683313,14.802784779010693
SC2,5,77.2582666959361,0.0887170772361423,41.3649606354962,27.7155306405309,0.0411306488240182,74.7013871655342,33.336426530038
SC3,1,278.188516572934,0.0449271275911223,56.0438969291452,88.1884271663844,0.0345477180307989,70.4783118205417,14.434414891396507
SC3,2,333.889411072765,0.044513336255939,48.3287300263215,95.6267581898909,0.0364950755132445,64.2508189978925,15.922088971570993
SC3,3,269.078525954265,0.0441854138285733,52.0118264050287,102.082327599486,0.0324248159334166,70.7674691237561,18.7556427187274
SC3,4,233.522890510902,0.0318479673959208,52.2142051681524,76.2092319813746,0.0357463084716975,69.3442534096964,17.13004824154401
SC3,5,257.671529502049,0.054168590961475,49.6246679036918,76.8230080205781,0.0433513696331404,61.9160525340869,12.2913846303951
SC4,1,347.1441578472,0.0310418876324501,47.815400139194,103.545044227574,0.029092628942659,80.833471136154,33.018070996960006
SC4,2,289.519874667348,0.0666148447080194,41.3308909138044,76.6226244570109,0.0401148238290039,57.1641157733609,15.833224859556495
SC4,3,387.760561115428,0.0421597590926978,43.5529328847428,119.976236658338,0.0252070422607641,68.937683196255,25.384750311512192
SC4,4,202.93970955413,0.0657582844468015,43.0298595643086,58.0833150096123,0.0289369401338911,66.5849772134877,23.555117649179103
SC4,5,206.017927698443,0.0376475200243364,45.7156702661956,64.430659924039,0.0306201829393625,68.4828154071312,22.767145140935597
SC6,1,286.88593337156,0.0376992729326405,36.5311906084139,67.4192779831704,0.0521468836126237,52.6633887032422,16.132198094828297
SC6,2,161.335545289202,0.0651122012337262,39.3964422921804,48.7898851673343,0.0638469122831167,51.8087873548181,12.412345062637698
SC6,3,44.1309798683693,0.0773178053030386,38.8490888588144,14.1932645525955,0.0452551945715984,67.7159710679537,28.866882209139305
SC6,4,311.019203447225,0.0620809346858961,35.5676161126922,87.0010989217653,0.0572141469178282,48.687759033129,13.120142920436798
SC6,5,266.760620682114,0.0555492327630756,38.5900619446195,76.6499443796215,0.0459679995421092,53.8661819851449,15.276120040525399
