parameter,shapiro_p,levene_p,normal_ok,variance_ok,use_anova
L,0.03314235806085921,0.21954906386965134,FALSE,TRUE,FALSE
k,0.6881969992711848,0.23555749874938622,TRUE,TRUE,TRUE
x0,0.18452780677013525,0.9173819890672295,TRUE,TRUE,TRUE
