"Sample","Genotype","Replicate","L","L_SE","k","k_SE","x0","x0_SE","R2","RMSE"
"1SG1T1",1,1,78.7866554356543,0.704026237525995,0.0568455804645732,0.00258913197121151,57.9339870028852,0.550759803831132,0.997366686046725,1.5466130554776
"1SG1T2",1,2,85.0982129189135,0.651779843258723,0.0528661800311001,0.00196533401897056,56.6570924047926,0.477644873828181,0.998093168200406,1.38286845558198
"1SG1T3",1,3,217.904302900993,4.58708054720576,0.0361193048803079,0.00229115687398066,71.0351000802103,1.14744241801695,0.995042103018406,5.52697542646947
"1SG1T4",1,4,164.683390209794,4.46398399458394,0.0295562590113717,0.00192331832114814,75.1496051492392,1.47487840903646,0.995176554801174,3.84350653388287
"1SG1T5",1,5,97.5636031049159,1.01754543111414,0.0437782023947844,0.00174231619750658,65.2849986696969,0.600225748065161,0.997975589598327,1.65315807203003
"1SG2T1",2,1,65.5270411751292,0.87825927122397,0.0458900573955013,0.0025681554877988,60.4365093080979,0.804962209829898,0.995641454403896,1.59111625816395
"1SG2T2",2,2,57.9343772049337,0.792855178479469,0.0449890262190478,0.00212550436835018,77.1452473624495,0.715360250069607,0.997620791702103,1.11148947437064
"1SG2T3",2,3,79.1732406976755,1.71362573532682,0.040837277270304,0.0032660070036805,62.442346946624,1.26740401931044,0.991200447210612,2.70106111660298
"1SG2T4",2,4,71.3493482607432,1.44904362501502,0.0420753393450894,0.00289866239465931,73.0229886683313,1.09444761065911,0.994543139306662,2.0163752992417
"1SG2T5",2,5,27.7155306405309,0.363175323224256,0.0411306488240182,0.00175960922132688,74.7013871655342,0.694859971422896,0.997948047764477,0.479891772120129
"1SG3T1",3,1,88.1884271663844,1.85638612907862,0.0345477180307989,0.00211692618481738,70.4783118205417,1.1536750275064,0.995368669624325,2.13600437914134
"1SG3T2",3,2,95.6267581898909,1.81316176286786,0.0364950755132445,0.00226924926351893,64.2508189978925,1.08651979272817,0.99472499720911,2.45778581059186
"1SG3T3",3,3,102.082327599486,2.58562959967477,0.0324248159334166,0.00225003429800327,70.7674691237561,1.39180237863118,0.994039689329042,2.72737965853729
"1SG3T4",3,4,76.2092319813746,1.44845242760009,0.0357463084716975,0.00206573842412255,69.3442534096964,1.04940817825099,0.995817357141956,1.77115277249966
"1SG3T5",3,5,76.8230080205781,1.04695482507798,0.0433513696331404,0.00231345467243947,61.9160525340869,0.805276430051511,0.996147467712719,1.76470093659303
"1SG4T1",4,1,103.545044227574,2.77872426233204,0.029092628942659,0.00173660888626755,80.833471136154,1.41874362033026,0.99626959237817,2.10031565449416
"1SG4T2",4,2,76.6226244570109,1.40378883628835,0.0401148238290039,0.00283608683393269,57.1641157733609,1.11577006636089,0.992521313610971,2.3274122474895
"1SG4T3",4,3,119.976236658338,4.23899036343384,0.0252070422607641,0.00200790030771954,68.937683196255,2.06699697362183,0.992369495775572,3.21207974585089
"1SG4T4",4,4,58.0833150096123,2.33213935809804,0.0289369401338911,0.00302614655112571,66.5849772134877,2.28838631926586,0.98586350568616,2.24963662940371
