"term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"angle_type",1758347.79972776,879173.89986388,2,8438.99999992649,1042.45718176406,0
"colony",4.92440482267823e-10,7.03486403239748e-11,7,8438.99999995985,8.34140382743599e-14,1
"day_sc",7.4092875100482e-09,7.4092875100482e-09,1,8438.99999997288,8.78536655580918e-12,0.999997635130724
"angle_type:colony",31338.8630212045,2238.49021580032,14,8438.99999995985,2.65423052496316,0.000711463986661669
"angle_type:day_sc",584308.252329833,292154.126164917,2,8438.99999997641,346.414022356411,2.5792804672163e-145
