"contrast","estimate","SE","df","z.ratio","p.value"
"Main - NN1",0.775530133377622,0.029699896135423,Inf,26.112217020606,0
"Main - NN2",0.302535548254043,0.029699896135423,Inf,10.1864177192596,2.72004641033163e-14
"NN1 - NN2",-0.472994585123579,0.029699896135423,Inf,-15.9257993013464,0
