"contrast","day_sc","estimate","SE","df","z.ratio","p.value"
"Main - NN1",-1,-17.9671214529869,1.10762125649674,Inf,-16.2213584721321,0
"Main - NN2",-1,24.9327360180044,1.10762125649674,Inf,22.5101638956113,0
"NN1 - NN2",-1,42.8998574709913,1.10762125649674,Inf,38.7315223677433,0
"Main - NN1",0,2.72518336597476,0.802411644603292,Inf,3.39624104947041,0.0019747305089951
"Main - NN2",0,33.0048372989435,0.802411644603292,Inf,41.1320517603666,0
"NN1 - NN2",0,30.2796539329687,0.802411644603292,Inf,37.7358107108962,0
"Main - NN1",1,23.4174881849364,1.14752734944881,Inf,20.4069107339224,0
"Main - NN2",1,41.0769385798825,1.14752734944881,Inf,35.7960432050817,0
"NN1 - NN2",1,17.6594503949461,1.14752734944881,Inf,15.3891324711593,0
