"day_sc","angle_type","emmean","SE","df","asymp.LCL","asymp.UCL","time_label","day_value"
-1,"Main",62.3218715215785,0.783206501455206,Inf,60.7868149862687,63.8569280568883,"Early",55.9
0,"Main",71.91000688829,0.567390715202038,Inf,70.7979415213315,73.0220722552484,"Mid",82.6
1,"Main",81.4981422550014,0.811424370392279,Inf,79.9077797128545,83.0885047971484,"Late",109.3
-1,"NN1",80.2889929745654,0.783206501455206,Inf,78.7539364392556,81.8240495098752,"Early",55.9
0,"NN1",69.1848235223152,0.567390715202038,Inf,68.0727581553568,70.2968888892736,"Mid",82.6
1,"NN1",58.080654070065,0.811424370392279,Inf,56.490291527918,59.671016612212,"Late",109.3
-1,"NN2",37.3891355035741,0.783206501455206,Inf,35.8540789682643,38.9241920388839,"Early",55.9
0,"NN2",38.9051695893465,0.567390715202038,Inf,37.7931042223881,40.0172349563049,"Mid",82.6
1,"NN2",40.4212036751189,0.811424370392279,Inf,38.830841132972,42.0115662172659,"Late",109.3
