"angle_type","time_bin","time_label","n","mean","sd","se"
"Main","Early","Early
≤56 d",540,58.5932047032821,42.461639575004,1.82725803251836
"Main","Mid","Mid
>56–<109 d",1851,72.0688927079415,34.2052480062037,0.795041015752824
"Main","Late","Late
≥109 d",431,85.8167007052093,31.8670217655702,1.53498042658328
"NN1","Early","Early
≤56 d",540,89.0280507616154,45.7398431374215,1.96832945254859
"NN1","Mid","Mid
>56–<109 d",1851,66.829911579081,29.5988206530405,0.687972688659092
"NN1","Late","Late
≥109 d",431,54.9168098359345,22.5709260525774,1.08720325217204
"NN2","Early","Early
≤56 d",540,32.3787445338147,18.3896850322573,0.791366043021472
"NN2","Mid","Mid
>56–<109 d",1851,41.101195713433,14.9101518322349,0.346560336460035
"NN2","Late","Late
≥109 d",431,39.2664894575738,13.7838408619343,0.663944251893268
