"angle_type","day.trend","SE","df","asymp.LCL","asymp.UCL"
"Main",0.359355227213474,0.0210009979578938,Inf,0.318194027576603,0.400516426850345
"NN1",-0.416174906164148,0.0210009979578938,Inf,-0.457336105801019,-0.375013706527277
"NN2",0.0568196789594317,0.0210009979578938,Inf,0.0156584793225607,0.0979808785963027
