"contrast","estimate","SE","df","z.ratio","p.value"
"Main - NN1",2.72518336597465,0.802411644603292,Inf,3.39624104947028,0.00197473050899588
"Main - NN2",33.0048372989434,0.802411644603292,Inf,41.1320517603665,0
"NN1 - NN2",30.2796539329688,0.802411644603292,Inf,37.7358107108962,0
