"angle_type","time_bin","n","mean","sd","se"
"main","Early",540,58.5932047032821,42.461639575004,1.82725803251836
"main","Mid",1851,72.0688927079415,34.2052480062037,0.795041015752824
"main","Late",431,85.8167007052093,31.8670217655702,1.53498042658328
"NN1","Early",540,89.0280507616154,45.7398431374215,1.96832945254859
"NN1","Mid",1851,66.829911579081,29.5988206530405,0.687972688659092
"NN1","Late",431,54.9168098359345,22.5709260525774,1.08720325217204
"NN2","Early",540,32.3787445338147,18.3896850322573,0.791366043021472
"NN2","Mid",1851,41.101195713433,14.9101518322349,0.346560336460035
"NN2","Late",431,39.2664894575738,13.7838408619343,0.663944251893268
