"angle_type","emmean","SE","df","asymp.LCL","asymp.UCL"
"Main",71.9100068882899,0.567390715202038,Inf,70.7979415213315,73.0220722552483
"NN1",69.1848235223153,0.567390715202038,Inf,68.0727581553568,70.2968888892737
"NN2",38.9051695893465,0.567390715202038,Inf,37.7931042223881,40.0172349563049
