genotype,replica,day,dist_perimeter,dist_nubbin,nubbin_perimeter_ratio
1,1,53,1.7700575775527612,2.58203461715326,1.4587291678517706
1,1,53,1.651191460143142,2.1054859807410957,1.2751313409521696
1,1,53,1.4129270128127664,2.7473443459634517,1.9444347238391393
1,1,53,1.6771649899876233,1.832867653326119,1.0928368194351854
1,1,53,1.2147796219571043,2.3170667778939875,1.9073968117451732
1,1,53,1.709992662082502,1.8888641508535793,1.1046036586807573
1,1,53,1.7374154857082476,2.725835206599557,1.5689023316655808
1,1,53,1.2590350110061543,2.4227727843500344,1.9243093028953042
1,1,53,1.0512651106264026,1.2633947000305648,1.201785056176518
1,1,53,3.4655493421073253,0.37743537774745145,0.10891069221306807
1,1,60,1.243170588993202,3.594304408889037,2.8912398995860507
1,1,60,1.969386423787696,2.477644912286198,1.2580796142186128
1,1,60,1.2378160769688864,3.9704574327916915,3.207631171275773
1,1,60,1.4775701128353258,3.473509350958227,2.350825399610223
1,1,60,1.391484098428821,2.4074691653265266,1.730144935213341
1,1,60,1.2035439445177791,2.6994276163974305,2.2428990887233478
1,1,60,1.1359435352960876,2.966635721655758,2.6116049165088953
1,1,60,1.0065621491250287,3.2280742858693916,3.207029281476012
1,1,60,1.7486828017875522,2.8551313763512405,1.6327325764470524
1,1,60,1.2448893684642475,1.3862972523779613,1.1135907233975024
1,1,60,0.8750083730559215,1.431523286376893,1.6360109576750357
1,1,60,0.7739455834101857,1.505452730116794,1.945166123286622
1,1,67,1.389951932462907,3.5746278810119225,2.5717636686024874
1,1,67,1.1319922456621183,4.62914523748105,4.089378929246461
1,1,67,1.0583516009771448,3.4628498233227942,3.2719276090532174
1,1,67,1.1832225892795518,4.006509804417213,3.3860998266241036
1,1,67,0.9074114352235272,2.7571407453413204,3.038468150516684
1,1,67,0.7781417064143616,2.061572551277671,2.6493536258033195
1,1,67,0.9535958929449135,4.433866206020249,4.64962804351799
1,1,67,1.7628035197716396,4.026516125925936,2.2841548027130933
1,1,67,1.904667288696743,4.024875637572392,2.1131646778721067
1,1,75,4.438466564735673,1.957373062157797,0.44100209692001263
1,1,75,1.600439717302638,4.895442419136879,3.058810879417314
1,1,75,1.0592643991049613,5.085706045802419,4.801167725545812
1,1,75,1.2514577051943494,3.9976711769297975,3.1944117330828736
1,1,75,1.2864920182596826,4.73114329594533,3.677553555556015
1,1,75,1.2901399716187583,3.9514640504628313,3.0628180952372706
1,1,75,1.4345465763138434,2.8443220115094725,1.982732424637013
1,1,75,2.3766660783163167,2.9555953561681383,1.2435888167604714
1,1,75,1.0191611672729537,4.189335696418121,4.110572332370004
1,1,75,0.8498794423368614,4.160078506434294,4.894904264298453
1,1,75,0.9639668782831012,4.22234721909313,4.38017873250319
1,1,75,0.6475206416904716,4.935406972665586,7.622007168421379
1,1,75,1.155545161075466,4.052339512062887,3.506863815077011
1,1,75,1.0571330908778056,5.229380782845883,4.946757251259245
1,1,75,1.0097565967440452,4.637318895179491,4.59251161134525
1,1,85,1.1593514722872182,5.813100677733151,5.014096947032652
1,1,85,1.2018904302352802,5.844237758459353,4.862537891507543
1,1,85,1.1728391029745662,5.834076353708737,4.974319443231637
1,1,85,1.3877843810190333,4.019698585355603,2.896486399712891
1,1,85,0.9955753054672385,4.95835531804726,4.980392031439781
1,1,85,1.0719023465870052,5.082812395599424,4.741861431485221
1,1,85,0.9419585393054928,4.969296016681976,5.275493357006821
1,1,95,0.7625761820084893,5.474993921491227,7.179602576979354
1,1,95,1.377456104046288,4.42048344917769,3.209164659543404
1,1,95,4.870871508810658,0.509689938221649,0.10464039901272251
1,1,102,0.9149247226853561,6.444341559853553,7.0435757172885705
1,1,102,0.5856762448668724,2.982171597400279,5.091843187319547
1,1,102,1.052803637005897,4.546121100304783,4.318109228073761
1,1,102,0.8656019292392217,5.552230827473114,6.414300430629786
1,1,102,0.7401029549826112,5.331837069874052,7.204182923441135
1,1,116,0.1874862237289913,6.0058943613375995,32.03379022673706
1,1,116,0.4018948102570744,6.099643230866001,15.17721322891512
1,1,116,0.7649300914583925,5.471958078042806,7.153540093592261
1,1,127,0.7110369492002575,6.449745547957636,9.070900682745139
1,1,127,1.7249878046096707,5.5826973198589185,3.236369152837094
1,1,127,2.5719991531851076,3.62859327274881,1.4108065581029603
1,1,134,0.8342728483483081,5.67815233548844,6.806109472134969
1,2,45,1.531319922375095,2.2259758935774547,1.4536321646785213
1,2,45,2.8715033620006785,1.0089172413333616,0.35135506184133913
1,2,45,3.1003561939738202,0.5919173656765051,0.1909191488471609
1,2,45,1.361196852499551,2.3702150559415327,1.7412728009098262
1,2,45,1.4189148931742475,2.6236937474160897,1.8490846491480806
1,2,45,1.262479529333317,2.4453575876048794,1.9369483075073777
1,2,45,1.5151629050327131,1.8083797254616816,1.193521646718666
1,2,45,0.6561862327617558,2.6246847642057873,3.9999083082847036
1,2,45,1.111416529366041,1.0333212755125398,0.9297335861128077
1,2,45,1.1664625638202937,1.0731683187339711,0.9200195120015051
1,2,45,0.9970420249245346,1.3796125077572803,1.3837054740613386
