genotype,fit_day_start,fit_day_end,n_timepoints,intercept,slope,slope_se,r_squared,adj_r_squared,p_value_slope
1,45,127,11,-1.1405834911231383,0.07241683527019217,0.005951443558288214,0.9426966479267092,0.9363296088074546,6.839593203314108e-7
2,45,127,11,0.04718924396691853,0.042204675939484904,0.003779272091487221,0.932690662036094,0.925211846706771,1.4172213178310199e-6
3,45,127,11,-0.551489660083546,0.06126411762304992,0.003573631782882129,0.9702867704774886,0.9669853005305429,3.518856828433939e-8
4,45,127,11,0.25545679033690344,0.060562704645471095,0.005084097629846766,0.9403579000103652,0.9337310000115169,8.196829030913435e-7
6,45,127,11,1.6995212341882648,0.033791733899276054,0.011052458015775002,0.5094744041168608,0.4549715601298454,0.013628903011269058
7,45,127,11,0.2387727510788577,0.0463148125695013,0.003957742105438513,0.9383327549416336,0.9314808388240373,9.534168199439255e-7
8,45,127,11,-0.6068168641200002,0.04545243549675952,0.0032456719751099584,0.9561216203854069,0.9512462448726744,2.0457562902034382e-7
9,45,127,11,2.326834359838837,0.005204948196635157,0.007217911574982551,0.054622605512567576,-0.05041932720825826,0.48914588115333846
10,45,127,11,-0.5347549725826797,0.06559940221878215,0.004838087616042695,0.9533304443288408,0.9481449381431565,2.703297203961778e-7
