Colony,Colony_Number,Sample,Slide,Polyp_ID,X,Y,NN1_Distance,NN2_Distance,NN3_Distance,NN4_Distance,NN5_Distance,NN6_Distance,NN7_Distance,NN8_Distance
SC1,1,T1,1SG1T1,1,19.410699244811983,18.986957116581035,1.0978958033110402,1.5483419004274825,1.6358115803055604,2.0653634870558313,2.7292434447374627,2.837742788781264,2.8601882179105207,3.1540221265393282
SC1,1,T1,1SG1T1,2,12.555592621940676,13.529366948257165,1.774861567733272,1.9219533135399702,2.0838381066212666,2.6774141122982127,2.7151786278266767,2.9648731786329026,3.308308180563148,3.388915448228908
SC1,1,T1,1SG1T1,3,16.210842801522524,11.096157600443853,1.2080889501131267,1.4293545594619577,1.642988419255317,2.0767105649785984,2.1312803233737494,2.38084504231456,2.4481230844418214,3.086566999498068
SC1,1,T1,1SG1T1,4,18.320226248933896,11.400882539671072,1.5441198902028068,1.5700189588499698,1.8813499436341017,1.9243515290690911,2.1312803233737494,2.9415716909090657,3.3327632463330406,3.367204527949725
SC1,1,T1,1SG1T1,5,20.058408666975826,12.226625047381834,1.5512379578784319,1.9243515290690911,1.9357488113112795,2.1256094380577757,2.425142888599294,2.748793158027305,3.0101576371883,3.1593300248657323
SC1,1,T1,1SG1T1,6,13.925222897643703,10.429550691908704,0.9315838276755634,1.6198930334475072,1.6737043196810741,1.7464432261448093,2.2937600355820047,2.38084504231456,2.5008705807633778,2.7377005861002095
SC1,1,T1,1SG1T1,7,20.885469484188977,14.848043409690383,0.878208369001138,1.1478955257546852,1.8483602851456942,1.9758915491502482,2.12244519005084,2.5588721096076528,2.5935257478516993,2.748793158027305
SC1,1,T1,1SG1T1,8,21.28510229903481,15.92412786332124,0.6887529493936934,1.1478955257546852,1.411994801198987,1.7953481249814027,2.1010463096413847,2.5834063992877745,2.8736409246184933,2.9034367174286624
SC1,1,T1,1SG1T1,9,21.034218601251208,18.786796117560396,1.2167540241897772,1.6358115803055604,1.6536006622870136,1.6716934654582893,2.1039502752473234,2.2789558994000068,2.6654754128255536,2.8465092208065994
SC1,1,T1,1SG1T1,10,18.49207449661849,19.58820894978775,1.0978958033110402,1.5826178436156528,1.8509871992094964,2.1498943098872614,2.322443040466576,2.6654754128255536,2.7535977016331,2.876410379543738
SC1,1,T1,1SG1T1,11,16.641167164584726,19.605403712393596,1.8151441423695285,1.8509871992094964,1.8713778292293648,1.9340097606636124,2.837742788781264,2.9407068039356745,3.1577511716699687,3.2656866262847872
SC1,1,T1,1SG1T1,12,19.794771815935935,20.48690741600086,1.2844309878436342,1.505846502589258,1.5483419004274825,1.5826178436156528,1.7581714260548102,1.8339345593560445,2.1039502752473234,2.271446881897885
SC1,1,T1,1SG1T1,13,19.478520878327977,10.379775401885444,1.416767618680222,1.5441198902028068,1.9357488113112795,1.9458849721188602,2.3211560665110635,2.4477381164520176,2.6752390335048264,2.6868414211867346
SC1,1,T1,1SG1T1,14,21.493869201765705,12.814666079133533,0.9247520392710186,1.5512379578784319,1.7924707665510038,1.9079566848848828,2.12244519005084,2.151748332141207,2.596148216363542,3.000648258570192
SC1,1,T1,1SG1T1,15,17.68250446217768,9.630914027773615,0.8868531569683019,1.5880795963722483,1.8813499436341017,1.9161584766453188,1.9458849721188602,2.0767105649785984,2.318025213773132,2.6496837681540986
SC1,1,T1,1SG1T1,16,13.129642836924296,10.914216344676008,0.9315838276755634,1.8061333499289751,1.8174083763505768,2.060507867700278,2.177732566811387,2.282203976402866,2.5499723960218117,2.6774141122982127
SC1,1,T1,1SG1T1,17,22.132368115845537,13.483609627465365,0.9247520392710186,1.2338054247858667,1.8483602851456942,1.8515584904356435,1.9511960513549955,2.425142888599294,2.447891994106901,2.5834063992877745
SC1,1,T1,1SG1T1,18,21.700858857080117,17.273526174812435,1.411994801198987,1.5456591092902525,1.6536006622870136,1.6663574504072936,1.9072343913867962,2.1862180271670204,2.5588721096076528,2.7592297877974086
SC1,1,T1,1SG1T1,19,17.345267041297262,21.406691340163107,1.4577422075289426,1.6904699014579372,1.7222295453062602,1.9340097606636124,2.1000594163028614,2.1498943098872614,2.521305482538608,2.6165007372681846
SC1,1,T1,1SG1T1,20,15.89491903515612,21.260052311614203,1.4577422075289426,1.58668325681774,1.6901999588680832,1.8151441423695285,1.870458080897016,2.299921915512799,2.7251733358952537,2.830164240658823
SC1,1,T1,1SG1T1,21,14.776267062886518,19.76097552994814,1.4415247356612106,1.7068195328052094,1.8100332418482576,1.870458080897016,1.8713778292293648,3.0509246822997627,3.1356907163850973,3.160322581806066
SC1,1,T1,1SG1T1,22,14.979447972541085,11.82191322860836,1.4293545594619577,1.7464432261448093,2.060507867700278,2.1689630267267894,2.631244716899887,2.9648731786329026,3.2586745315250245,3.367204527949725
SC1,1,T1,1SG1T1,23,16.427612197496288,8.657650338706437,1.4796693172777462,1.5658598284709833,1.5880795963722483,1.8391853162673661,2.2000955500435677,2.3729910791432016,2.4481230844418214,2.5560171911396035
SC1,1,T1,1SG1T1,24,15.36517059825193,9.687523698245505,1.4796693172777462,1.6198930334475072,1.642988419255317,1.7582882371161597,1.9094824460152076,2.1689630267267894,2.2580475398776865,2.318025213773132
SC1,1,T1,1SG1T1,25,20.301108132750535,9.226267407026985,1.416767618680222,1.5827285464184502,1.6352962470610792,2.000769416374705,2.228776570998971,2.2479859773309565,2.38405047306445,2.6496837681540986
SC1,1,T1,1SG1T1,26,21.831490698884465,11.05427885649664,1.6150848808379163,1.6566743841795464,1.7924707665510038,1.8738261976314345,2.1256094380577757,2.38405047306445,2.4477381164520176,2.447891994106901
SC1,1,T1,1SG1T1,27,11.594136619305022,11.865183396354569,1.6011625651152501,1.6066491610870766,1.6213588731588224,1.8061333499289751,1.9219533135399702,2.624662930086821,2.7377005861002095,2.806820000817365
SC1,1,T1,1SG1T1,28,22.830614018220153,14.500825674354171,1.2338054247858667,1.5469298572511216,1.7951193070844524,1.798380023563222,1.9758915491502482,2.1010463096413847,2.151748332141207,2.4952330059903094
SC1,1,T1,1SG1T1,29,23.04348679873069,16.286562465840802,1.510390831164326,1.5755811057040632,1.6663574504072936,1.7953481249814027,1.798380023563222,2.216742545874533,2.479021570286094,2.5935257478516993
SC1,1,T1,1SG1T1,30,22.67613024365647,18.472654109879155,1.4470812477890582,1.5456591092902525,1.6716934654582893,1.7106661018368994,1.8242517330143146,2.1055287165672913,2.216742545874533,2.9034367174286624
SC1,1,T1,1SG1T1,31,21.216221307371256,19.989861107636575,1.2167540241897772,1.505846502589258,1.5562156099423734,1.6441679231235655,2.0653634870558313,2.1055287165672913,2.274062018418993,2.489571607191273
SC1,1,T1,1SG1T1,32,11.562622790503427,15.000470105235658,1.6741927179886906,1.7199958633029455,1.774861567733272,2.1846155121524453,2.871753304306298,3.1354450829654392,3.874119850890626,3.951510717821605
SC1,1,T1,1SG1T1,33,12.363402705128497,17.75831683214548,1.502693279372077,1.7262898901816672,2.871753304306298,3.0650383858474783,3.1356907163850973,4.09332704231678,4.135290012351101,4.2333147868500465
SC1,1,T1,1SG1T1,34,13.537414787209611,19.0239283112618,1.4415247356612106,1.703219408832429,1.7262898901816672,2.5040281802199487,3.1577511716699687,3.228296967856567,3.249319440134791,3.5877408775523696
