spacing_cluster,emmean,SE,df,asymp.LCL,asymp.UCL
Low-spacing,1.9159764214588202,0.031825038912725985,Inf,1.8536004913832915,1.9783523515343489
High-spacing,1.9702292009410554,0.03572194102010301,Inf,1.9002154830837894,2.040242918798321
