spacing_cluster,emmean,SE,df,asymp.LCL,asymp.UCL
Low-spacing,1.5265402097855962,0.016693479232907284,Inf,1.4938215917124307,1.5592588278587618
High-spacing,1.5595850275859013,0.018711182739531044,Inf,1.522911783308273,1.5962582718635296
