spacing_cluster,nn_rank_num.trend,SE,df,asymp.LCL,asymp.UCL
Low-spacing,0.23082377930481068,0.0012707247915333055,Inf,0.22833320447914324,0.23331435413047813
High-spacing,0.28420787507949236,0.0015669320974312352,Inf,0.2811367446023073,0.2872790055566774
