spacing_cluster,emmean,SE,df,asymp.LCL,asymp.UCL
Low-spacing,2.008156445226068,0.03667487996584782,Inf,1.9362750013556769,2.0800378890964595
High-spacing,2.4303007990460412,0.04104464325681868,Inf,2.349854776504382,2.5107468215877007
