term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
spacing_cluster,0.22755009567966922,0.22755009567966922,1,58.94431687732029,0.8240204026929413,0.36770369000678504
nn_rank_num,1095.8179505273272,1095.8179505273272,1,99601.20089709782,3968.2529957835545,0
spacing_cluster:nn_rank_num,0.12382098400416328,0.12382098400416328,1,99601.20089710511,0.4483892515895917,0.503102419476748
