term,Chisq,Df,Pr(>Chisq)
(Intercept),154.71306033615753,1,1.6177047545727064e-35
genotype,34.72796260029976,8,2.996769527338947e-5
day_sc,137.3626197499346,1,1.0045829496536412e-31
