nn_rank,nn_rank_num,n,mean_NNk_over_NN1,sd,se
NN2,2,3559,1.2724579512846765,0.3786951328197927,0.006347836459016915
NN3,3,7118,1.3201038618813585,0.3993248975919458,0.004733118711110781
NN4,4,10677,1.3912192192394248,0.4362724545959574,0.004222145271090535
NN5,5,14236,1.4625154484921006,0.47553970540325874,0.003985591598698252
NN6,6,17795,1.5315201368435394,0.5196828870144494,0.00389573511269894
NN7,7,21354,1.5898319366780949,0.566713373562699,0.003878143208358311
NN8,8,24913,1.6325078163196372,0.6099831270846706,0.003864602300157846
