genotype,n,mean_ratio,sd_ratio,se_ratio
1,594,1.376178070492061,0.5332749144195174,0.021880534772591484
2,277,1.384733738414643,0.5260239675122667,0.031605717071678155
3,394,1.3044352737379028,0.3576527867202602,0.018018287090257046
4,366,1.3455346669641903,0.4327781723220514,0.02262167745361387
6,276,1.4541029030665726,0.5224060090026114,0.0314451465254557
7,320,1.4261255447048267,0.561740742089184,0.03140226212606482
8,365,1.4400750359093308,0.5541757495449569,0.029006884463119317
9,230,1.3812825912951807,0.37499216193227175,0.024726250925461095
