spacing_cluster,nn_rank_num.trend,SE,df,asymp.LCL,asymp.UCL
Low-spacing,0.06121938814081452,0.001237410689821181,Inf,0.05879410775468014,0.0636446685269489
High-spacing,0.06253487982150945,0.001525852443034311,Inf,0.05954426398743974,0.06552549565557915
