genotype,ratio_emmean,ratio_letter
4,7.0611205712785745,a
10,6.918482650241115,a
6,4.957786443458193,ab
3,4.709011960958658,b
9,4.287820746608259,b
7,4.181734252665451,b
1,4.11179726090258,b
8,3.6815759901325085,b
2,3.2690781191592553,b
