term,estimate,std.error,statistic,p.value
(Intercept),0.8416915346692351,0.007700511624670169,109.30332628454238,1.2154793144906807e-9
nn_rank_num,0.21360349643881918,0.0014299491102794464,149.3783903939602,2.550682928443123e-10
