genotype,nn_rank_num.trend,SE,df,asymp.LCL,asymp.UCL
1,0.22017471323365545,0.002354825938668228,Inf,0.215559339204005,0.2247900872633059
2,0.2860241982856288,0.0034080723056915917,Inf,0.2793444993097649,0.2927038972614927
3,0.26058406527772165,0.0028576800819946993,Inf,0.2549831152376746,0.2661850153177687
4,0.2901744528181179,0.0029502315827930592,Inf,0.2843921051697909,0.29595680046644485
6,0.30771185524867073,0.0033852755795667554,Inf,0.30107683703497695,0.3143468734623645
7,0.24392779790623104,0.0031659758350306437,Inf,0.23772259929364686,0.2501329965188152
8,0.23862511391035637,0.0029960928538230003,Inf,0.23275287982252546,0.2444973479981873
9,0.25723742532889843,0.00371582268852315,Inf,0.24995454668645625,0.2645203039713406
10,0.21731441983003502,0.0024956582678736274,Inf,0.2124230195072831,0.22220582015278695
