spacing_cluster,nn_rank_num.trend,SE,df,asymp.LCL,asymp.UCL
Low-spacing,0.20905400296444454,0.0025829391790506114,Inf,0.2039915351992479,0.21411647072964118
High-spacing,0.22052117525576737,0.003185025059976574,Inf,0.21427864084835577,0.22676370966317896
