colony,NN2,NN3,NN4,NN5,NN6,NN7,NN8
SC1,1.320 ± 0.021,1.509 ± 0.026,1.700 ± 0.029,1.895 ± 0.032,2.110 ± 0.035,2.317 ± 0.039,2.495 ± 0.041
SC2,1.242 ± 0.017,1.450 ± 0.024,1.676 ± 0.029,1.908 ± 0.034,2.157 ± 0.036,2.372 ± 0.041,2.583 ± 0.043
SC3,1.275 ± 0.020,1.463 ± 0.025,1.654 ± 0.027,1.869 ± 0.032,2.069 ± 0.034,2.273 ± 0.035,2.468 ± 0.039
SC4,1.269 ± 0.017,1.502 ± 0.023,1.743 ± 0.030,1.960 ± 0.033,2.168 ± 0.035,2.392 ± 0.039,2.599 ± 0.043
SC6,1.346 ± 0.026,1.579 ± 0.031,1.813 ± 0.036,2.065 ± 0.041,2.325 ± 0.048,2.565 ± 0.053,2.773 ± 0.057
SC7,1.241 ± 0.015,1.460 ± 0.023,1.676 ± 0.026,1.900 ± 0.031,2.126 ± 0.034,2.338 ± 0.037,2.539 ± 0.040
SC8,1.277 ± 0.020,1.492 ± 0.024,1.725 ± 0.029,1.953 ± 0.033,2.193 ± 0.039,2.420 ± 0.043,2.616 ± 0.046
SC9,1.247 ± 0.015,1.493 ± 0.023,1.747 ± 0.029,1.992 ± 0.031,2.216 ± 0.036,2.443 ± 0.041,2.668 ± 0.046
SC10,1.224 ± 0.011,1.387 ± 0.014,1.577 ± 0.018,1.774 ± 0.020,1.976 ± 0.022,2.175 ± 0.023,2.349 ± 0.025
