term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
genotype,13.068513817715601,1.6335642272144502,8,36.6762187637094,3.559534973990714,0.003800944008967884
day_sc,59.53352783189917,59.53352783189917,1,3311.9526850876987,129.72350331400557,1.6558807395415636e-29
