genotype,nn_rank_num.trend,SE,df,asymp.LCL,asymp.UCL
1,0.198272225535378,0.004801145183846536,Inf,0.18886215389049085,0.20768229718026512
10,0.19110119277119028,0.005088281675759306,Inf,0.18112834394350694,0.20107404159887363
2,0.22668930119618536,0.006948560260010483,Inf,0.21307037334215853,0.24030822905021218
3,0.20054728486674692,0.005826391130379026,Inf,0.18912776809136042,0.2119668016421334
4,0.2212023756490774,0.006015090084734489,Inf,0.20941301571923382,0.232991735578921
6,0.2415684033225687,0.006902081074417844,Inf,0.22804057299833422,0.25509623364680323
7,0.2178156382391357,0.006454961015559577,Inf,0.20516414712702882,0.23046712935124256
8,0.22650000546150265,0.006108594499186031,Inf,0.21452738024693854,0.23847263067606675
9,0.23679534182836787,0.007576018215223217,Inf,0.22194661898031096,0.2516440646764248
