nn_rank,nn_rank_num,n,mean_ratio,sd_ratio,se_ratio
NN2,2,3559,1.2724579512846765,0.3786951328197927,0.006347836459016915
NN3,3,3559,1.47734714344109,0.4838381474316823,0.008110284939921756
NN4,4,3559,1.6914922584096854,0.5696565730872941,0.009548807075592714
NN5,5,3559,1.9094191126768252,0.6428138953162734,0.010775098825981147
NN6,6,3559,2.1308609832994185,0.7128314280650293,0.011948760192694474
NN7,7,3559,2.345559690661451,0.7857083717051466,0.013170352127124214
NN8,8,3559,2.54082597827017,0.8436731813102836,0.014141981017655946
