genotype,n,successes,p_perimeter,p_nubbin,se,p_value,signif,star_y
1,594,539,0.9074074074074074,0.09259259259259262,0.011903150800129176,7.409225606919309e-101,*,0.9373105582075366
2,278,243,0.8741007194244605,0.1258992805755395,0.01993207343348319,1.7311466096236714e-39,*,0.9120327928579437
3,394,360,0.9137055837563451,0.08629441624365486,0.014164400953573393,7.551687267973279e-70,*,0.9458699847099186
4,366,341,0.9316939890710382,0.06830601092896176,0.013204430534985075,4.887492602906723e-72,*,0.9628984196060233
6,276,236,0.8550724637681157,0.1449275362318841,0.02122807279169737,5.379558125601534e-35,*,0.8943005365598131
7,320,270,0.84375,0.15625,0.02032925972435885,1.197681868177085e-37,*,0.8820792597243589
8,365,317,0.8684931506849316,0.13150684931506842,0.01771359429357879,9.716006828989644e-50,*,0.9042067449785104
9,231,177,0.7662337662337663,0.23376623376623376,0.027906644192268022,1.8358701235167683e-16,*,0.8121404104260344
10,498,471,0.9457831325301205,0.05421686746987957,0.010157452463415456,7.765039880365186e-106,*,0.973940584993536
