nn_rank,nn_rank_num,n,mean_ratio,sd_ratio,se_ratio,mean_SE,mean_SD,step_difference
NN2,2,3559,1.2724579512846765,0.3786951328197927,0.006347836459016915,1.272 ± 0.006,1.272 ± 0.379,NA
NN3,3,3559,1.47734714344109,0.4838381474316823,0.008110284939921756,1.477 ± 0.008,1.477 ± 0.484,0.20488919215641355
NN4,4,3559,1.6914922584096854,0.5696565730872941,0.009548807075592714,1.691 ± 0.010,1.691 ± 0.570,0.21414511496859534
NN5,5,3559,1.9094191126768252,0.6428138953162734,0.010775098825981147,1.909 ± 0.011,1.909 ± 0.643,0.21792685426713976
NN6,6,3559,2.1308609832994185,0.7128314280650293,0.011948760192694474,2.131 ± 0.012,2.131 ± 0.713,0.22144187062259335
NN7,7,3559,2.345559690661451,0.7857083717051466,0.013170352127124214,2.346 ± 0.013,2.346 ± 0.786,0.21469870736203234
NN8,8,3559,2.54082597827017,0.8436731813102836,0.014141981017655946,2.541 ± 0.014,2.541 ± 0.844,0.19526628760871922
