genotype,perimeter_emmean,perimeter_letter
1,1.497125386752579,a
7,1.3246381107415235,ab
2,1.3203318557284018,abc
3,1.2805512908623142,abc
6,1.233055424006049,abc
4,1.1991960616264288,abc
9,1.1818115583398272,abc
8,1.1665322544075392,bc
10,0.9865740654783336,c
